1. The beginning of The Gospel of Jesus Christ, [The Son of God SG->5];	αρχη του ευαγγελιου ιησου χριστου υιου του θεου.	arche tou euaggeliou iesou christou uiou tou theou.	Mar|1|1|
8. And from Jerusalem, and from Idumaea, and from beyond Jordan; and they about Tyre and Sidon, a great multitude, when they had heard what great things He did, came unto Him.	και απο ιεροσολυμων και απο της ιδουμαιας και περαν του ιορδανου και οι περι τυρον και σιδωνα πληθος πολυ ακουσαντες οσα εποιει ηλθον προς αυτον.	kai apo ierosolumon kai apo tes idoumaias kai peran tou iordanou kai oi peri turon kai sidona plethos polu akousantes osa epoiei elthon pros auton.	Mar|3|8|

9. And He spake to His disciples, that a small ship should wait on Him because of the multitude, lest they should throng Him.	και ειπε τοις μαθηταις αυτου ινα πλοιαριον προσκαρτερη αυτω δια τον οχλον ινα μη θλιβωσιν αυτον	kai eipe tois mathetais autou ina ploiarion proskartere auto dia ton ochlon ina me thlibosin auton	Mar|3|9|

10. For He had healed many; insomuch that they pressed upon Him for to touch Him, as many as had plagues.	πολλους γαρ εθεραπευσεν ωστε επιπιπτειν αυτω ινα αυτου αψωνται οσοι ειχον μαστιγας	pollous gar etherapeusen oste epipiptein auto ina autou apsontai osoi eichon mastigas	Mar|3|10|

11. And unclean spirits, when they saw Him, fell down before Him, and cried, saying, Thou art The Son of God.	και τα πνευματα τα ακαθαρτα οταν αυτον εθεωρουν προσεπιπτον αυτω και εκραζον λεγοντα οτι συ ει ο υιος του θεου.	kai ta pneumata ta akatharta otan auton etheoroun prosepipton auto kai ekrazon legonta oti su ei o uios tou theou.	Mar|3|11|

12. And He straitly charged them that they should not make Him known.	και πολλα επετιμα αυτοις ινα μη αυτον φανερον ποιησωσι.	kai polla epetima autois ina me auton phaneron poiesosi.	Mar|3|12|

13. And He goeth up into a mountain, and calleth unto Him whom He would: and they came unto Him.	και αναβαινει εις το ορος και προσκαλειται ους ηθελεν αυτος και απηλθον προς αυτον.	kai anabainei eis to oros kai proskaleitai ous ethelen autos kai apelthon pros auton.	Mar|3|13|

14. And He ordained [twelve TW->11], that they should be with Him, and that He might send them forth to preach,	και εποιησε δωδεκα ινα ωσι μετ αυτου και ινα αποστελλη αυτους κηρυσσειν	kai epoiese dodeka ina osi met autou kai ina apostelle autous kerussein	Mar|3|14|

15. And to have power to heal sicknesses, and to cast out devils:	και εχειν εξουσιαν θεραπευειν τας νοσους και εκβαλλειν τα δαιμονια	kai echein exousian therapeuein tas nosous kai ekballein ta daimonia	Mar|3|15|

16. And Simon He surnamed Peter;	και επεθηκεν ονομα τω σιμωνι πετρον	kai epetheken onoma to simoni petron	Mar|3|16|

17. And James the son of Zebedee, and John the brother of James; and He surnamed them Boanerges, which is, The sons of thunder:	και ιακωβον τον του ζεβεδαιου και ιωαννην τον αδελφον του ιακωβου και επεθηκεν αυτοις ονομα βοανηργες ο εστιν υιοι βροντης	kai iakobon ton tou zebedaiou kai ioannen ton adelphon tou iakobou kai epetheken autois onoma boanerges o estin uioi brontes	Mar|3|17|

18. And Andrew, and Philip, and Bartholomew, and Matthew, and Thomas, and James the son of Alphaeus, and Thaddaeus, and Simon the Canaanite,	και ανδρεαν και φιλιππον και βαρθολομαιον και ματθαιον και θωμαν και ιακωβον τον του αλφαιου και θαδδαιον και σιμωνα τον κανανιτην	kai andrean kai philippon kai bartholomaion kai matthaion kai thoman kai iakobon ton tou alphaiou kai thaddaion kai simona ton kananiten	Mar|3|18|

19. And Judas Iscariot, which also betrayed Him: and they went into an house.	και ιουδαν ισκαριωτην ος και παρεδωκεν αυτον.	kai ioudan iskarioten os kai paredoken auton.	Mar|3|19|

20. And the multitude cometh together again, so that they could not so much as eat bread.	και ερχεται εις οικον και συνερχεται παλιν οχλος ωστε μη δυνασθαι αυτους μηδε αρτον φαγειν.	kai erchetai eis oikon kai sunerchetai palin ochlos oste me dunasthai autous mede arton phagein.	Mar|3|20|

21. And when His friends heard of it, they went out to lay hold on Him: for they said, He is beside Himself.	και ακουσαντες οι παρ αυτου εξηλθον κρατησαι αυτον ελεγον γαρ οτι εξεστη.	kai akousantes oi par autou exelthon kratesai auton elegon gar oti exeste.	Mar|3|21|

22. And the scribes which came down from Jerusalem said, He hath Beelzebub, and by the prince of the devils casteth He out devils.	και οι γραμματεις οι απο ιεροσολυμων καταβαντες ελεγον οτι βεελζεβουλ εχει και οτι εν τω αρχοντι των δαιμονιων εκβαλλει τα δαιμονια.	kai oi grammateis oi apo ierosolumon katabantes elegon oti beelzeboul echei kai oti en to archonti ton daimonion ekballei ta daimonia.	Mar|3|22|

23. And He called them unto Him, and said unto them in parables, How can Satan cast out Satan?	και προσκαλεσαμενος αυτους εν παραβολαις ελεγεν αυτοις πως δυναται σατανας σαταναν εκβαλλειν	kai proskalesamenos autous en parabolais elegen autois pos dunatai satanas satanan ekballein	Mar|3|23|

24. And if a kingdom be divided against itself, that kingdom cannot stand.	και εαν βασιλεια εφ εαυτην μερισθη ου δυναται σταθηναι η βασιλεια εκεινη	kai ean basileia eph eauten meristhe ou dunatai stathenai e basileia ekeine	Mar|3|24|

25. And if a house be divided against itself, that house cannot stand.	και εαν οικια εφ εαυτην μερισθη ου δυναται σταθηναι η οικια εκεινη.	kai ean oikia eph eauten meristhe ou dunatai stathenai e oikia ekeine.	Mar|3|25|

26. And if Satan rise up against himself, and be divided, he cannot stand, but hath an end.	και ει ο σατανας ανεστη εφ εαυτον και μεμερισται ου δυναται σταθηναι αλλα τελος εχει.	kai ei o satanas aneste eph eauton kai memeristai ou dunatai stathenai alla telos echei.	Mar|3|26|

27. No Man can enter into a strong manís house, and spoil his goods, except He will first bind the strong man; and then He will spoil his house.	ου δυναται ουδεις τα σκευη του ισχυρου εισελθων εις την οικιαν αυτου διαρπασαι εαν μη πρωτον τον ισχυρον δηση και τοτε την οικιαν αυτου διαρπασει.	ou dunatai oudeis ta skeue tou ischurou eiselthon eis ten oikian autou diarpasai ean me proton ton ischuron dese kai tote ten oikian autou diarpasei.	Mar|3|27|

28. [Amin AM.B->1] I say unto you, All sins shall be forgiven unto the sons of men, and blasphemies wherewith soever they shall blaspheme:	αμην λεγω υμιν οτι παντα αφεθησεται τοις υιοις των ανθρωπων τα αμαρτηματα και αι βλασφημιαι οσας αν βλασφημησωσιν	amen lego umin oti panta aphethesetai tois uiois ton anthropon ta amartemata kai ai blasphemiai osas an blasphemesosin	Mar|3|28|

29. But he that shall blaspheme against The Holy Spirit hath never forgiveness, but is in danger of eternal damnation:	ος δ αν βλασφημηση εις το πνευμα το ῞αγιον ουκ εχει αφεσιν εις τον αιωνα αλλ ενοχος εστιν αιωνιου κρισεως	os d an blasphemese eis to pneuma to ῞agion ouk echei aphesin eis ton aiona all enochos estin aioniou kriseos	Mar|3|29|

30. Because they said, He hath an unclean spirit.	οτι ελεγον πνευμα ακαθαρτον εχει.	oti elegon pneuma akatharton echei.	Mar|3|30|

31. There came then His brethren and His [mother MR.A->e4], and, standing without, sent unto Him, calling Him.	ερχονται ουν η μητηρ αυτου και οι αδελφοι αυτου και εξω εστωτες απεστειλαν προς αυτον φωνουντες αυτον.	erchontai oun e meter autou kai oi adelphoi autou kai exo estotes apesteilan pros auton phonountes auton.	Mar|3|31|

32. And the multitude sat about Him, and they said unto Him, Behold, Thy [mother MR.A->e5] and Thy brethren without seek for thee.	και εκαθητο περι αυτον οχλος ειπον δε αυτω ιδου η μητηρ σου και οι αδελφοι σου εξω ζητουσι σε.	kai ekatheto peri auton ochlos eipon de auto idou e meter sou kai oi adelphoi sou exo zetousi se.	Mar|3|32|

33. And he answered them, saying, Who is My mother, or My brethren?	και απεκριθη αυτοις λεγων τις εστιν η μητηρ μου η οι αδελφοι μου	kai apekrithe autois legon tis estin e meter mou e oi adelphoi mou	Mar|3|33|

34. And He looked round about on them which sat about Him, and said, Behold My mother and My brethren!	και περιβλεψαμενος κυκλω τους περι αυτον καθημενους λεγει ιδε η μητηρ μου και οι αδελφοι μου	kai periblepsamenos kuklo tous peri auton kathemenous legei ide e meter mou kai oi adelphoi mou	Mar|3|34|
